Month,Print_Circulation_Copies_Per_Day,Digital_Unique_Visitors,Ad_Revenue_INR_Lakh,Subscription_Revenue_INR_Lakh,Total_Revenue_INR_Lakh
2021-09,487891,1134080,343.8,42.3,386.1
2021-10,495228,1156576,458.2,42.7,500.9
2021-11,498693,1205913,448.5,41.4,489.9
2021-12,490612,1199078,323.2,41.4,364.6
2022-01,479395,1234604,398.1,44.1,442.2
2022-02,478341,1156870,369.8,43.2,413.0
2022-03,487703,1273757,361.0,44.8,405.8
2022-04,481978,1657382,332.9,44.6,377.5
2022-05,459549,1304865,337.8,43.4,381.2
2022-06,464312,1248901,304.3,46.8,351.1
2022-07,471797,1297234,339.2,46.3,385.5
2022-08,470746,1432706,377.8,47.5,425.3
2022-09,473721,1396289,364.3,46.6,410.9
2022-10,472272,1392163,482.4,47.9,530.3
2022-11,472296,1403048,451.8,51.2,503.0
2022-12,466073,1459363,363.6,49.7,413.3
2023-01,462516,1507298,373.8,50.9,424.7
2023-02,468938,1492573,349.8,48.7,398.5
2023-03,461070,1560759,381.4,54.8,436.2
2023-04,457241,1594069,362.4,54.6,417.0
2023-05,458340,1817167,390.5,54.4,444.9
2023-06,447932,1604551,350.1,54.2,404.3
2023-07,462435,1674437,392.3,53.5,445.8
2023-08,453161,1590064,374.4,54.7,429.1
2023-09,457024,1637565,347.9,56.3,404.2
2023-10,471104,1756452,487.7,54.2,541.9
2023-11,463132,1688776,472.2,55.1,527.3
2023-12,459060,1850852,397.2,53.6,450.8
2024-01,452708,2132530,419.0,55.7,474.7
2024-02,453399,1911083,379.1,60.6,439.7
2024-03,450712,1868429,380.9,57.7,438.6
2024-04,463060,1961366,399.0,58.4,457.4
2024-05,438362,1878152,377.6,60.2,437.8
2024-06,431746,2004475,371.9,57.3,429.2
2024-07,454450,2090642,378.6,62.7,441.3
2024-08,442440,2065654,384.3,63.9,448.2
2024-09,449154,2037090,374.4,63.0,437.4
2024-10,447708,2042551,502.2,66.1,568.3
2024-11,450104,2149882,528.5,61.1,589.6
2024-12,446132,2044348,399.1,67.9,467.0
2025-01,448036,2210666,451.3,63.6,514.9
2025-02,444035,2134071,435.8,63.2,499.0
2025-03,441535,2813887,406.7,66.0,472.7
2025-04,439582,2353976,387.3,71.0,458.3
2025-05,419189,2280756,426.7,67.9,494.6
2025-06,422266,2276364,375.4,66.8,442.2
2025-07,435848,2356957,393.7,66.8,460.5
2025-08,442854,2472146,432.0,70.0,502.0
2025-09,438144,2553759,392.1,66.8,458.9
2025-10,437058,2928529,566.1,69.0,635.1
2025-11,446977,2664619,558.4,75.9,634.3
2025-12,431468,2813541,404.2,76.3,480.5
2026-01,429004,2595434,466.7,73.9,540.6
2026-02,434734,2648035,425.5,74.0,499.5
2026-03,435944,2681743,422.3,76.0,498.3
2026-04,434471,2978165,441.9,82.1,524.0
2026-05,411545,2924561,455.7,78.4,534.1
2026-06,413360,2755841,392.9,80.5,473.4
2026-07,428536,2949994,422.8,78.7,501.5
2026-08,430886,3058745,451.6,80.2,531.8
